4basebio Plc ,4BB,	590.00	1,800	0.00%	580.00	590.00	4
7digital ,7DIG,	0.55	10,132,785	-4.35%	0.55	0.575	34
88 Energy ,88E,	1.53	24,832,311	-4.38%	1.53	1.53	123
Ariana ,AAU,	4.10	379,104	-1.20%	4.00	4.10	9
Anglo Asian ,AAZ,	112.50	193,080	4.65%	110.50	116.50	46
Abcam ,ABC,	1,400.00	539,819	-3.25%	1,379.00	1,486.00	3,101
Ab Dynamics ,ABDP,	1,770.00	5,696	1.43%	1,705.00	1,770.00	30
Abingdon Healt. ,ABDX,	22.50	118,000	-2.17%	22.50	23.00	26
Access Intelligence ,ACC,	152.50	2,222	0.00%	152.50	152.50	5
Armadale Capital ,ACP,	5.35	3,636,269	3.88%	5.26	5.35	61
Accrol Gp ,ACRL,	22.80	4,314,937	-8.06%	22.40	24.80	179
Accesso Tech ,ACSO,	810.00	130,419	-1.22%	800.00	834.00	103
Actual Experience ,ACT,	19.50	72,726	-2.50%	19.50	20.00	5
Adm Energy ,ADME,	1.05	2,389,450	31.25%	0.80	1.05	27
Adept Tech. ,ADT,	223.00	5,756	-0.89%	223.00	225.00	3
Advance Energy ,ADV,	3.98	10,588,225	-1.12%	3.98	3.98	147
Active Energy ,AEG,	0.185	5,299,138	0.00%	0.185	0.185	11
Aeorema Comm. ,AEO,	78.50	32,467	0.64%	78.50	79.00	11
Afentra ,AET,	14.50	0	0.00%	0.00	0.00	0
Aex Gold Inc. ,AEXG,	34.70	23,845	0.58%	34.50	34.70	5
Afc Energy ,AFC,	43.35	2,773,355	2.00%	42.00	44.20	545
Alpha Fin. Mkts ,AFM,	440.00	554,077	0.00%	440.00	440.00	19
ADVFN ,AFN,	80.00	45,305	14.29%	74.00	74.00	19
Aferian ,AFRN,	158.50	53,681	0.00%	158.50	158.50	10
Alpha Fx Group. ,AFX,	2,250.00	14,534	-0.22%	2,240.00	2,255.00	27
Argentex Group. ,AGFX,	89.40	219,196	1.36%	86.20	89.80	76
ANGLE ,AGL,	121.00	1,364,388	0.00%	106.50	121.50	199
Applied Graph. ,AGM,	21.00	56,945	-2.33%	21.80	21.80	24
Agriterra Ld ,AGTA,	4.76	281	0.00%	4.76	4.76	1
Allergy Thera. ,AGY,	30.00	2,824,258	-4.76%	30.00	30.00	67
AIREA ,AIEA,	27.00	7	0.00%	27.00	27.00	1
Alba Mineral Resources ,ALBA,	0.132	7,246,634	-2.52%	0.132	0.132	26
Atlantic Lith ,ALL,	29.00	3,576,618	-0.34%	28.00	30.80	212
Altus Strategi. ,ALS,	59.50	71,877	1.71%	58.50	59.50	6
Altitude Group ,ALT,	26.50	11,507	0.00%	26.50	26.50	2
Alumasc Group ,ALU,	222.50	28,158	-1.11%	217.50	227.50	23
Amur Minerals ,AMC,	1.797	1,554,400	5.71%	0.00	0.00	30
Advanced Medical Solutions Group ,AMS,	304.50	192,561	-0.81%	302.00	308.00	214
Amte Power ,AMTE,	144.00	58,317	0.00%	144.00	144.00	22
Animalcare Grp ,ANCR,	339.00	3,125	1.50%	339.00	339.00	5
Angling Direct ,ANG,	53.50	748	0.00%	53.50	53.50	2
Angus Energy ,ANGS,	1.00	12,575,643	0.00%	0.925	1.00	66
Agronomics ,ANIC,	20.90	699,461	-0.48%	20.90	21.25	69
Anpario ,ANP,	605.00	10,480	-0.33%	600.00	605.00	11
Anexo Group Plc ,ANX,	138.00	11,003	0.00%	136.50	136.50	9
Activeops ,AOM,	167.00	8,132	0.00%	167.00	167.00	3
Alliance Pharma ,APH,	103.20	415,013	-2.09%	103.20	106.00	266
Appreciate Grp. ,APP,	23.90	440,376	-1.47%	23.50	23.90	17
Aquis Exchange ,AQX,	620.00	0	0.00%	620.00	620.00	0
Arbuthnot ,ARBB,	852.50	1,023	0.59%	0.00	0.00	3
Arcontech Group ,ARC,	77.00	22,184	0.00%	77.00	77.00	5
Arc Minerals ,ARCM,	2.50	3,791,228	-4.76%	2.45	2.625	43
Arden Partners ,ARDN,	22.00	0	0.00%	22.00	22.00	0
Arena Events Group ,ARE,	20.50	3,152,039	0.00%	20.00	20.50	8
Arecor Therape ,AREC,	400.00	1,250	0.00%	400.00	400.00	1
Argos Resources ,ARG,	1.50	0	0.00%	1.50	1.50	0
Argo Group ,ARGO,	20.00	0	0.00%	20.00	20.00	0
Arkle Res ,ARK,	0.65	50,588	0.00%	0.65	0.65	3
Asiamet Res ,ARS,	2.475	4,881,073	-1.00%	2.45	2.525	31
Artisanal Sp.co ,ART,	96.00	61,541	0.00%	96.00	96.00	6
ASOS ,ASC,	2,514.00	1,682,620	11.29%	2,337.00	2,548.00	9,895
Asimilar Grp ,ASLR,	31.50	711,338	5.00%	30.00	32.50	24
Ascent Resources ,AST,	3.40	183,008	0.00%	3.40	3.40	12
Assetco ,ASTO,	1,550.00	782	0.00%	1,550.00	1,550.00	2
Andrew Sykes ,ASY,	507.00	488	0.40%	505.00	507.00	5
Afritin Mining. ,ATM,	5.70	2,216,809	0.88%	5.70	5.70	43
Atome Energy ,ATOM,	84.00	90,021	-1.18%	83.00	84.00	142
Attraqt Group ,ATQT,	31.00	9,638	1.64%	31.00	31.00	1
Atalaya Mining ,ATYM,	420.00	718,482	-2.33%	415.00	432.50	177
Aukett Swanke ,AUK,	2.25	47,025	0.00%	2.25	2.25	4
Aura Egy ,AURA,	16.00	62,473	0.00%	15.00	16.00	9
Autins Group ,AUTG,	20.50	7,322	0.00%	20.50	20.50	1
Avacta ,AVCT,	80.00	1,452,942	-4.19%	79.00	83.00	315
Avingtrans ,AVG,	440.00	13,407	3.53%	425.00	440.00	16
Advanced Oncotherapy ,AVO,	37.00	860	-1.33%	37.00	37.50	2
Arrow Explor. ,AXL,	8.25	1,287,108	0.00%	8.00	8.25	5
Accsys Tech ,AXS,	169.00	14,736	-0.15%	168.50	170.50	9
B90 Holdings ,B90,	9.00	102,800	-2.70%	9.00	9.25	8
Brand Architek. ,BAR,	119.00	21,765	-2.46%	119.00	122.00	10
Barkby Group ,BARK,	17.00	6,279	0.00%	17.00	17.00	2
Bigblu Broadb. ,BBB,	71.50	9,174	-2.05%	71.50	73.00	15
Brave Bison Grp ,BBSN,	1.45	1,080,000	0.00%	1.45	1.45	2
Begbies ,BEG,	131.00	515,786	1.71%	127.20	132.00	62
Belluscura ,BELL,	146.50	356,385	10.57%	145.00	148.50	102
Beowulf ,BEM,	14.50	1,936,765	1.75%	13.80	15.00	93
Bens Creek ,BEN,	32.50	526,891	-5.11%	32.50	34.25	96
Bango ,BGO,	193.50	23,598	-0.77%	193.50	194.00	20
Bradda Lithium ,BHL,	13.06	10,951,080	11.62%	11.80	13.06	348
Bidstack Group ,BIDS,	4.60	21,408,816	-10.68%	4.60	4.975	412
Big Tech Plc ,BIG,	305.00	22,526	-2.23%	305.00	320.00	30
Billington ,BILN,	228.00	3,335	1.33%	218.00	228.00	2
Biome Tech ,BIOM,	320.00	3,828	6.67%	300.00	320.00	7
Bion ,BION,	1.65	0	0.00%	0.00	0.00	0
Blackbird ,BIRD,	27.25	1,399,814	-4.39%	27.00	28.50	53
Beeks Fin.cloud ,BKS,	190.50	54,251	4.10%	183.00	190.50	23
Block Energy P. ,BLOE,	1.25	8,453,656	0.00%	1.25	1.25	29
Blan Tech Grp ,BLTG,	234.00	28,684	-0.85%	232.00	236.00	7
Blue Star ,BLU,	0.465	72,950,235	-3.13%	0.44	0.48	165
Belvoir ,BLV,	257.50	39,952	-1.15%	252.50	260.50	27
Bowleven ,BLVN,	3.00	37,913	0.00%	3.00	3.00	5
Benchmark Hlds ,BMK,	56.00	292,750	-0.91%	53.00	56.00	52
Bushveld Minerals ,BMN,	9.15	673,027	-1.61%	9.15	9.40	71
Botswana Diam ,BOD,	1.00	702,229	-2.44%	0.975	1.025	18
Baron Oil ,BOIL,	0.073	41,250,481	7.41%	0.068	0.075	48
Boku Inc. ,BOKU,	173.00	56,531	0.29%	171.00	174.00	13
Bonhill Group ,BONH,	8.75	198,259	0.00%	8.75	8.75	3
Boohoo ,BOO,	121.05	24,748,691	8.52%	111.60	122.30	6,012
Audioboom Grp. ,BOOM,	1,605.00	76,841	2.88%	1,585.00	1,630.00	149
Borders & Sth. ,BOR,	0.62	1,606,163	-13.00%	0.62	0.728	41
Best ,BOTB,	590.00	3,822	0.85%	590.00	596.00	14
B.p Marsh ,BPM,	321.00	4,096	0.00%	321.00	321.00	6
Brickability ,BRCK,	98.50	593,935	-1.50%	98.00	98.50	42
BlueRock Diamonds ,BRD,	29.50	0	-7.81%	29.50	29.50	0
Breedon ,BREE,	90.90	7,704,220	-1.20%	90.10	92.10	400
Braveheart Inv ,BRH,	24.75	1,192,961	-1.98%	25.00	25.00	72
Brooks ,BRK,	2,620.00	3,360	-0.19%	2,620.00	2,650.00	20
Brndshld Sys ,BRSD,	16.75	69,074	0.00%	16.75	16.75	4
